info,walk,syn,N,mu
0.0,0.09566366843177763,0.07021387537456474,600,0.6500000000000001
0.0,0.08462008264698781,0.043905479186069886,600,0.6500000000000001
0.0,0.1093275942769125,0.05224262549317411,600,0.6500000000000001
0.0,0.11513016350426082,0.04759227820480031,600,0.6500000000000001
0.0,0.13502286550461087,0.04434211855091748,600,0.6500000000000001
0.0,0.13106918558729194,0.07719868098644696,600,0.6500000000000001
0.0,0.1178672828341195,0.1071137610739593,600,0.6500000000000001
0.0,0.15119227296391025,0.13670605272174732,600,0.6500000000000001
0.0,0.03728510065323476,0.025384228603854392,600,0.7000000000000002
0.0,0.03315921472355734,0.0015244356728065253,600,0.7000000000000002
0.0,0.06895464083032167,0.04716986837188805,600,0.7000000000000002
0.0,0.03508459002562695,0.02303752700545769,600,0.7000000000000002
